StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1.1	Q1.2	Q1.3	Q1.4	Q1.5	Q1.5_5_TEXT	Q1.5_6_TEXT	Q1.6	Q1.6_4_TEXT	Q1.7	Q1.8	Q1.9	Q1.10	Q1.11	Q1.11_10_TEXT	Q1.12	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q3.1	Q3.2	Q3.3	Q3.4	Q3.5	Q3.6	Q3.7	Q3.8	Q3.9	Q3.10	Q3.11	Q3.12	Q4.1	Q4.2	Q4.3	Q4.4	Q4.5	Q4.6	Q4.7	Q5.1	Q5.2	Q6.1	Q6.1_4_TEXT	Q6.2	Q6.2_4_TEXT	Q7.1	Q8.1	Q8.2	Q8.3	SC1	SC2	SC3	SC4	SC5	SC6	SC7	SC8	SC9	SC10	Condition	CorrectAnswers
25/02/2022 18:14	25/02/2022 19:14	0	100	3558	1	25/02/2022 19:14	R_29azRlokubp8kQ8					53.3381958	-6.259094238	anonymous	EN-GB	1	3	provided by the researcher	7	5	researcher in Machine Translation		3		5		4	4	"2,3,4,5"		3	2	3	2	4	4	2	4	1	2	3	1	6	3	2	7	3	5	4	6	5	6	6	5	6	2	subtitles translating the problem with the car and subtitles translating the conversation about Pedro and Helena	4		6	6	6	1		2		when the subtitiles were too fast and I couldn't understand I lost tracked of the story and stopped paying attention  				15	23	10	12	17	9	11	12	54	0	WATCHA	9
03/03/2022 14:37	03/03/2022 15:06	0	100	1731	1	03/03/2022 15:06	R_3e5nKpT18U2JDQK					53.36749268	-6.251800537	anonymous	EN-GB	1	3	Ana Guerberof	7	5	research fellow		1		4		5	5	"1,2,3,4,5,7,8,9"		2	2	3	1	2	4	2	4	1	2	3	5	5	6	3	2	5	5	5	7	5	5	5	6	3	2	some expressions and most pronouns were not translated correctly	5		6	6	6	1		2			1	4	2	17	22	16	10	15	9	12	12	58	5	WATCHB	9
07/03/2022 13:11	07/03/2022 13:45	0	100	2021	1	07/03/2022 13:45	R_10AGJBqApR7Y9Lu					53.50709534	-7.135192871	anonymous	EN-GB	1	2	University Professor	4	6		Student	1		2		5	5	"1,2,4"		3	2	3	1	4	4	2	4	1	2	3	3	3	3	2	2	3	3	5	5	5	5	5	6	6	5	"Overall, I thought the subtitles were appropriate and well written, however, there was 1 instance that I noted: When Augustin is talking to Mr. Nelson about going on a date with Andrea, he says something like 'in reparation for not meeting her,' reading 'in reparation' took me out of the story for a few seconds. I understood what it meant but because it is a bit unusual in colloquial speech, I think it looked slightly odd. "	4	Didn't notice any in particular	6	5	5	1		4	Between Lectures					13	27	9	7	15	10	13	10	44	0	WATCHC	10
14/03/2022 19:02	15/03/2022 09:52	0	100	53452	1	15/03/2022 09:52	R_1mLckBEm9dXBsK7					52.48330688	13.53100586	anonymous	EN-GB	2	4	Twitter	4	1			1		3		2	3	2		1	2	4	1	4	4	4	3	1	2	3	5	5	5	5	5	5	5	5	5	3	4	2	6	2	7	"Nothing difficult to understand, but the computer often chose the wrong pronouns. Third person singular verbs were often attributed to ""he"" when the implied subject was ""ella"" or ""Usted"". Might have been confusing if I didn't know enough Spanish to tell that this was happening. Then a number of expressions were translated too literally rather than idiomatically: ""ugly with a capital EFE""; ""colluding""; ""sync"", ""as God commands""."	3	"""Ugly with a capital EFE"" is pretty good in a way."	2	6	4	1		2		"No, that was about all. Did I guess correctly that I got the computer translation?"	1	4	3	15	20	15	15	9	7	6	10	54	6	WATCHB	7
15/03/2022 14:39	15/03/2022 15:09	0	100	1777	1	15/03/2022 15:09	R_3kh8glD22kyILzf					46.19320679	5.914794922	anonymous	EN-GB	1	3	twitter	7	"1,2"			1		2		4	4	"2,5"		2	2	3	1	4	4	2	4	1	2	3	3	5	3	3	3	3	5	6	6	2	2	3	7	3	6		5	"The only one that sticks out is ""clean slate"" "	2	6	2	1		2						17	23	11	9	7	10	10	8	44	0	WATCHC	10
15/03/2022 21:42	15/03/2022 22:01	0	100	1107	1	15/03/2022 22:01	R_3ncNpEd02gzzONy					47.74949646	-122.2975998	anonymous	EN-GB	1	2	Twitter	7	5	computational linguist		1		5		3	5	"5,7"		1	2	3	1	2	4	4	4	1	2	1	2	3	2	2	2	3	5	5	5	5	5	7	6	5	6		4		6	5	4	1		2						15	27	7	7	17	7	9	9	46	0	WATCHC	7
19/03/2022 12:47	19/03/2022 13:18	0	100	1852	1	19/03/2022 13:18	R_2CU71ohl9RSqPUz					53.3381958	-6.259094238	anonymous	EN-GB	1	2	LinkedIn	5	6		Civil Servant	1		4		2	1	"1,2,5,7,10"	Horror	3	2	3	1	3	4	2	4	1	2	3	5	6	6	3	6	5	3	3	5	6	5	6	3	3	5		2		3	4	1	3		1						11	16	17	14	17	9	6	5	59	0	WATCHA	9
21/03/2022 10:12	21/03/2022 11:00	0	100	2892	1	21/03/2022 11:00	R_DHtH7V6tM7sTHgZ					41.38699341	2.17010498	anonymous	EN-GB	2	4	Ana Guerberof	4	5	I sell L10n services		1		4		2	3	"3,4"		3	2	3	1	4	4	2	4	1	2	3	6	6	3	5	4	2	2	3	3	4	5	6	3	5	5		4		6	2	1	1		1		I am not a big fan of these Telenovelas				8	23	15	11	15	10	8	3	49	0	WATCHC	10
21/03/2022 22:14	21/03/2022 22:44	0	100	1754	1	21/03/2022 22:44	R_3oFJT9KlWNqQohQ					53.19529724	-8.571304321	anonymous	EN-GB	1	3	LinkedIn 	5	5	Learning Technologist		1		5		5	5	"1,5"		3	2	3	2	4	3	2	4	2	2	3	2	5	3	3	2	3	2	6	5	2	1	2	5	2	2	"When the sentences started with “ummm…”
When the text ran over into the next screen
When more words were needed than necessary 
When the translation was too direct "	2		2	3	2	3		1						13	13	10	8	5	7	13	5	36	0	WATCHA	7
27/03/2022 19:43	27/03/2022 20:07	0	100	1462	1	27/03/2022 20:07	R_2yaytDOwevUzxWa					45.99679565	24.99699402	anonymous	EN-GB	1	2	personally sent to me	5	5	"PhD linguistics, bacgkround in languages and translation"		4	Italian	3	4	5	3	"5,7,10"	Tv series	2	2	3	2	2	3	2	4	4	2	3	3	3	4	1	1	2	1	1	1	1	1	2	5	5	6		4		6	7	1	1		2						3	26	10	4	4	6	10	2	21	0	WATCHA	6
